date,Mkt-RF,SMB,HML,RF
20020502,   -0.21,    0.56,    0.32,   0.007
20020503,   -0.96,    0.60,    0.63,   0.007
20020506,   -1.84,   -0.06,    0.88,   0.007
20020507,   -0.36,   -0.85,    0.90,   0.007
20020508,    3.57,   -0.88,   -1.86,   0.007
20020509,   -1.43,   -0.26,    0.62,   0.007
20020510,   -1.64,   -0.08,    0.37,   0.007
20020513,    1.75,   -0.35,   -0.99,   0.007
20020514,    2.20,    0.50,   -1.10,   0.007
20020515,   -0.40,    0.28,    0.63,   0.007
20020516,    0.35,   -0.80,   -0.72,   0.007
20020517,    0.69,   -0.21,   -0.40,   0.007
20020520,   -1.28,   -0.16,    0.99,   0.007
20020521,   -1.16,   -0.29,    0.18,   0.007
20020522,    0.37,   -0.65,   -0.13,   0.007
20020523,    1.05,    0.01,   -0.09,   0.007
20020524,   -1.17,   -0.35,    0.65,   0.007
20020528,   -0.75,    0.69,   -0.41,   0.007
20020529,   -0.67,   -0.15,    0.18,   0.007
20020530,   -0.24,    0.26,   -0.15,   0.007
20020531,    0.19,   -0.15,    0.20,   0.007
20020603,   -2.43,   -0.70,    1.20,   0.006
20020604,   -0.11,    0.06,   -0.64,   0.006
20020605,    0.83,   -0.14,   -0.37,   0.006
20020606,   -1.91,   -0.33,    0.97,   0.006
20020607,    0.08,    0.75,    0.00,   0.006
20020610,    0.21,   -0.22,   -0.39,   0.006
20020611,   -1.70,    0.58,    0.38,   0.006
20020612,    0.54,    0.04,   -1.31,   0.006
20020613,   -1.10,   -0.29,    0.36,   0.006
20020614,   -0.07,    0.71,   -0.64,   0.006
20020617,    2.77,   -0.15,   -0.91,   0.006
20020618,    0.05,   -0.42,    0.57,   0.006
20020619,   -1.63,   -0.02,    0.45,   0.006
20020620,   -1.37,    1.26,   -0.11,   0.006
20020621,   -1.53,    1.25,    1.28,   0.006
20020624,    0.18,   -0.11,   -0.47,   0.006
20020625,   -1.69,    0.51,    0.06,   0.006
20020626,   -0.27,    1.18,   -1.23,   0.006
20020627,    1.68,    0.36,   -1.08,   0.006
20020628,    0.12,    0.03,    1.91,   0.006
20020701,   -2.32,   -0.22,    0.16,   0.007
20020702,   -2.27,   -0.91,   -0.24,   0.007
20020703,    0.41,   -1.39,    0.12,   0.007
20020705,    3.55,   -0.83,   -0.72,   0.007
20020708,   -1.21,   -0.23,    0.34,   0.007
20020709,   -2.36,    1.36,    0.81,   0.007
20020710,   -3.03,    1.31,   -0.04,   0.007
20020711,    0.56,   -1.50,   -0.23,   0.007
20020712,   -0.55,   -0.14,   -0.34,   0.007
20020715,   -0.45,   -0.51,   -0.54,   0.007
20020716,   -1.50,    1.34,   -0.83,   0.007
20020717,    0.63,   -0.05,   -0.22,   0.007
20020718,   -2.70,   -0.39,    0.67,   0.007
20020719,   -3.38,    0.96,    0.24,   0.007
20020722,   -3.18,    1.23,    0.39,   0.007
20020723,   -2.86,    0.05,   -2.11,   0.007
20020724,    5.43,   -1.48,   -1.85,   0.007
20020725,   -0.52,    0.39,   -0.37,   0.007
20020726,    1.49,   -0.73,    0.52,   0.007
20020729,    5.39,   -1.14,    0.03,   0.007
20020730,    0.42,   -0.79,    0.10,   0.007
